"f";"V2";"th"
1.00;1.00;-0.00508
2.00;1.00;-0.0101
5.01;1.00;-0.0255
10.0;0.999;-0.0508
20.0;0.995;-0.101
50.1;0.969;-0.249
100;0.891;-0.470
119;0.856;-0.543
141;0.812;-0.623
158;0.779;-0.678
178;0.742;-0.735
188;0.722;-0.764
200;0.702;-0.792
211;0.681;-0.821
218;0.671;-0.835
237;0.639;-0.878
259;0.606;-0.920
282;0.572;-0.961
299;0.550;-0.988
501;0.365;-1.21
1000;0.193;-1.38
2000;0.0981;-1.47
5010;0.0392;-1.53
10000;0.0197;-1.55
20000;0.00986;-1.56
50100;0.00393;-1.57
100000;0.00197;-1.57
