t;T2;T1
133;29,1;18,1
134;28,6;18,5
135;28,3;18,5
136;28,0;18,4
137;27,8;18,3
138;27,6;18,4
139;27,3;18,4
140;27,2;18,4
141;26,9;18,3
142;26,8;18,2
143;26,6;18,2
144;26,4;18,1
145;26,3;18,2
146;26,1;18,1
147;26,0;18,2
148;25,8;18,2
149;25,7;18,1
150;25,6;18,1
151;25,5;18,2
152;25,4;18,2
153;25,3;18,2
154;25,2;18,2
155;25,1;18,2
156;25,0;18,2
157;24,9;18,1
158;24,8;18,0
159;24,7;18,0
160;24,5;17,9
161;24,5;17,9
162;24,3;18,0
163;24,3;18,0
