t;T2;T1
105;33,6;17,8
106;33,2;17,9
107;32,8;18,0
108;32,5;17,9
109;32,2;18,0
110;32,1;18,0
111;31,9;17,9
112;31,7;17,9
113;31,5;17,8
114;31,4;17,7
115;31,2;17,8
116;31,0;17,7
117;30,8;17,6
118;30,7;17,7
119;30,6;17,7
120;30,4;17,7
121;30,3;17,7
122;30,2;17,7
123;30,1;17,8
124;30,1;17,7
125;29,9;17,7
126;29,8;17,7
127;29,7;17,7
128;29,6;17,6
129;29,5;17,7
130;29,4;17,6
131;29,3;17,6
132;29,3;17,7
