t;T2;T1
76;37,4;17,2
77;37,1;17,4
78;36,9;17,4
79;36,7;17,5
80;36,5;17,4
81;36,4;17,4
82;36,2;17,4
83;36,1;17,5
84;36,0;17,5
85;35,8;17,6
86;35,7;17,5
87;35,6;17,5
88;35,5;17,5
89;35,3;17,4
90;35,1;17,4
91;35,1;17,4
92;34,9;17,3
93;34,8;17,3
94;34,8;17,3
95;34,7;17,3
96;34,6;17,3
97;34,6;17,3
98;34,4;17,2
99;34,4;17,3
100;34,2;17,2
101;34,1;17,2
102;34,0;17,2
103;34,1;17,3
104;34,1;17,3
