t;T2;T1
164;24,1;18,3
165;23,7;18,7
166;23,4;18,7
167;23,2;18,8
168;23,0;18,8
169;22,9;18,7
170;22,7;18,7
171;22,6;18,7
172;22,4;18,6
173;22,3;18,7
174;22,1;18,6
175;22,0;18,7
176;21,9;18,6
177;21,9;18,6
178;21,8;18,6
179;21,6;18,6
180;21,6;18,6
181;21,5;18,5
182;21,4;18,5
183;21,3;18,5
184;21,2;18,5
185;21,1;18,6
186;21,0;18,5
187;21,0;18,5
